"","gene","score_avg","rank_avg"
"8338","KLRG2",-0.23,2997.4
"8339","KLRK1",-4.418,14311.7
"8340","KMO",-2.48444444444444,14188.2222222222
"8341","KMT2A",-0.695,6088.625
"8342","KMT2B",-0.97875,7581.875
"8343","KMT2C",-1.05,8398.875
"8344","KMT2D",-1.21625,9577.25
"8345","KMT2E",-0.7725,4983.875
"8346","KNCN",-0.193333333333333,2146
"8347","KNDC1",-0.411428571428571,4331.57142857143
"8348","KNG1",-0.932857142857143,5899.85714285714
"8349","KNOP1",-1.47625,9039.25
"8350","KNSTRN",-1.009,8448.8
"8351","KNTC1",-1.456,10420.4
"8352","KPNA1",-0.745,6572.6
"8353","KPNA2",-1.039,8376.9
"8354","KPNA3",-1.102,6949.4
"8355","KPNA4",-0.637,5625.7
"8356","KPNA5",-1.527,11693.4
"8357","KPNA6",-0.589,5112.2
"8358","KPNA7",-0.127142857142857,1752.28571428571
"8359","KPNB1",-0.827,6973.6
"8360","KPRP",-0.913333333333333,8394.33333333333
"8361","KPTN",-0.998,8065.1
"8362","KRAS",-1.207,9228.9
"8363","KRBA1",-1.216,8511.8
"8364","KRBA2",-1.27666666666667,8038.88888888889
"8365","KRBOX1",-0.4375,4623.375
"8366","KRBOX4",-0.9,7571.5
"8367","KRCC1",-1.265,9660
"8368","KREMEN1",-1.107,8556.6
"8369","KREMEN2",-0.4725,4783.125
"8370","KRI1",-0.802,7241.8
"8371","KRIT1",-0.928,7757.4
"8372","KRR1",-0.851,7569.9
"8373","KRT1",-2.64444444444444,13342.4444444444
"8374","KRT10",-1.443,11427.3
"8375","KRT12",-0.116,1584.2
"8376","KRT13",-0.63,6032.85714285714
"8377","KRT14",-1.125,8149.33333333333
"8378","KRT15",-0.795555555555556,5411.33333333333
"8379","KRT16",-0.872857142857143,7221.42857142857
"8380","KRT17",-1.31444444444444,8879.66666666667
"8381","KRT18",-2.643,14440.8
"8382","KRT19",-2.03,11469.6
"8383","KRT2",-1.02125,7340.375
"8384","KRT20",-0.557142857142857,2948.14285714286
"8385","KRT23",-0.975555555555556,6397.66666666667
"8386","KRT24",-0.044,656.8
"8387","KRT25",-0.14,2019.5
"8388","KRT26",-0.094,1348.8
"8389","KRT27",-0.343333333333333,3380.33333333333
"8390","KRT28",-0.103333333333333,1331.33333333333
"8391","KRT3",-0.0575,1070.25
"8392","KRT31",-0.28,2776.6
"8393","KRT32",-0.1725,2367.5
