"","min_2","max_other","target_score","gene","rank"
"OR8J1",0,0.01,-0.01,"OR8J1",408
"OR9Q1",0,0.01,-0.01,"OR9Q1",409
"OR10W1",0,0.01,-0.01,"OR10W1",410
"OR5B17",0,0.01,-0.01,"OR5B17",411
"OR5B12",0,0.01,-0.01,"OR5B12",412
"OR10V1",0,0.01,-0.01,"OR10V1",413
"OOSP2",0,0.01,-0.01,"OOSP2",414
"PGA4",0,0.01,-0.01,"PGA4",415
"SLC22A6",0,0.01,-0.01,"SLC22A6",416
"SLC22A8",0,0.01,-0.01,"SLC22A8",417
"GAL3ST3",0,0.01,-0.01,"GAL3ST3",418
"GRM5",0,0.01,-0.01,"GRM5",419
"TRIM64",0,0.01,-0.01,"TRIM64",420
"VSTM5",0,0.01,-0.01,"VSTM5",421
"MMP27",0,0.01,-0.01,"MMP27",422
"PATE3",0,0.01,-0.01,"PATE3",423
"GPR158",0,0.01,-0.01,"GPR158",424
"C10orf53",0,0.01,-0.01,"C10orf53",425
"ATOH7",0,0.01,-0.01,"ATOH7",426
"NUTM2E",0,0.01,-0.01,"NUTM2E",427
"C10orf99",0,0.01,-0.01,"C10orf99",428
"TECTB",0,0.01,-0.01,"TECTB",429
"VWA2",0.01,0.02,-0.01,"VWA2",430
"C10orf82",0,0.01,-0.01,"C10orf82",431
"LRTM2",0,0.01,-0.01,"LRTM2",432
"LMO3",0,0.01,-0.01,"LMO3",433
"C12orf71",0,0.01,-0.01,"C12orf71",434
"DBX2",0,0.01,-0.01,"DBX2",435
"KRT3",0,0.01,-0.01,"KRT3",436
"KRT4",0,0.01,-0.01,"KRT4",437
"HOXC12",0,0.01,-0.01,"HOXC12",438
"HCAR1",0,0.01,-0.01,"HCAR1",439
"GSX1",0,0.01,-0.01,"GSX1",440
"CSNK1A1L",0,0.01,-0.01,"CSNK1A1L",441
"FAM216B",0,0.01,-0.01,"FAM216B",442
"KLHL1",0,0.01,-0.01,"KLHL1",443
"POU4F1",0,0.01,-0.01,"POU4F1",444
"SOX1",0,0.01,-0.01,"SOX1",445
"OR4K5",0,0.01,-0.01,"OR4K5",446
"OR4K14",0,0.01,-0.01,"OR4K14",447
"OR11G2",0,0.01,-0.01,"OR11G2",448
"MYH7",0,0.01,-0.01,"MYH7",449
"OTX2",0,0.01,-0.01,"OTX2",450
"ADAM21",0,0.01,-0.01,"ADAM21",451
"VRTN",0,0.01,-0.01,"VRTN",452
"PRIMA1",0,0.01,-0.01,"PRIMA1",453
"SERPINA12",0,0.01,-0.01,"SERPINA12",454
"DIO3",0,0.01,-0.01,"DIO3",455
"GJD2",0,0.01,-0.01,"GJD2",456
"TMEM202",0,0.01,-0.01,"TMEM202",457
"ISLR2",0,0.01,-0.01,"ISLR2",458
"LMAN1L",0,0.01,-0.01,"LMAN1L",459
"ANKRD34C",0,0.01,-0.01,"ANKRD34C",460
"BNC1",0,0.01,-0.01,"BNC1",461
"SPATA8",0,0.01,-0.01,"SPATA8",462
"HBZ",0,0.01,-0.01,"HBZ",463
"PRSS41",0,0.01,-0.01,"PRSS41",464
"OR1F1",0.01,0.02,-0.01,"OR1F1",465
"MTRNR2L4",0,0.01,-0.01,"MTRNR2L4",466
"C16orf90",0,0.01,-0.01,"C16orf90",467
"SHISA9",0,0.01,-0.01,"SHISA9",468
"RP11.345J4.3",0,0.01,-0.01,"RP11.345J4.3",469
"COX6A2",0,0.01,-0.01,"COX6A2",470
"IRX6",0,0.01,-0.01,"IRX6",471
"AIPL1",0,0.01,-0.01,"AIPL1",472
"TBC1D3G",0,0.01,-0.01,"TBC1D3G",473
"LHX1",0,0.01,-0.01,"LHX1",474
"KRT28",0,0.01,-0.01,"KRT28",475
"KRT12",0,0.01,-0.01,"KRT12",476
"KRTAP4.11",0,0.01,-0.01,"KRTAP4.11",477
"KRTAP9.6",0,0.01,-0.01,"KRTAP9.6",478
"KRT34",0,0.01,-0.01,"KRT34",479
"KRT9",0,0.01,-0.01,"KRT9",480
"WNT9B",0,0.01,-0.01,"WNT9B",481
"HOXB8",0,0.01,-0.01,"HOXB8",482
"CSH2",0,0.01,-0.01,"CSH2",483
