"","min_2","max_other","target_score","gene","rank"
"SERPINA4",0,0,0,"SERPINA4",426
"DPP6",0,0,0,"DPP6",427
"RHO",0,0,0,"RHO",428
"MAGEA8",0,0,0,"MAGEA8",429
"SP7",0,0,0,"SP7",430
"FSD2",0,0,0,"FSD2",431
"C17orf74",0,0,0,"C17orf74",432
"SLC5A7",0,0,0,"SLC5A7",433
"OLFM4",0,0,0,"OLFM4",434
"TAGLN3",0,0,0,"TAGLN3",435
"SRRM5",0,0,0,"SRRM5",436
"CELA2B",0,0,0,"CELA2B",437
"LCE3A",0,0,0,"LCE3A",438
"TAAR1",0,0,0,"TAAR1",439
"ATP2B3",0,0,0,"ATP2B3",440
"C11orf65",0,0,0,"C11orf65",441
"UGT2B28",0,0,0,"UGT2B28",442
"OR4P4",0,0,0,"OR4P4",443
"WNK2",0,0,0,"WNK2",444
"RLBP1",0,0,0,"RLBP1",445
"HOXC13",0,0,0,"HOXC13",446
"CPSF4L",0,0,0,"CPSF4L",447
"C16orf92",0,0,0,"C16orf92",448
"COL20A1",0,0,0,"COL20A1",449
"BPIFA2",0,0,0,"BPIFA2",450
"KCNJ18",0,0,0,"KCNJ18",451
"CXorf49",0,0,0,"CXorf49",452
"YBX2",0,0,0,"YBX2",453
"ATOH1",0,0,0,"ATOH1",454
"OPN4",0,0,0,"OPN4",455
"C9orf50",0,0,0,"C9orf50",456
"HDGFL1",0,0,0,"HDGFL1",457
"AQP4",0,0,0,"AQP4",458
"GALR1",0,0,0,"GALR1",459
"OTX1",0,0,0,"OTX1",460
"KRT24",0,0,0,"KRT24",461
"TH",0,0,0,"TH",462
"CIDEA",0,0,0,"CIDEA",463
"IRX1",0,0,0,"IRX1",464
"C8orf22",0,0,0,"C8orf22",465
"PLSCR5",0,0,0,"PLSCR5",466
"FRMPD2",0,0,0,"FRMPD2",467
"SPACA5B",0,0,0,"SPACA5B",468
"NPY5R",0,0,0,"NPY5R",469
"IL1RAPL2",0,0,0,"IL1RAPL2",470
"SPAG17",0,0,0,"SPAG17",471
"LRRC55",0,0,0,"LRRC55",472
"MYO3A",0,0,0,"MYO3A",473
"PANX2",0,0,0,"PANX2",474
"RNF186",0,0,0,"RNF186",475
"MAGEL2",0,0,0,"MAGEL2",476
"KCNB1",0,0,0,"KCNB1",477
"PITX3",0,0,0,"PITX3",478
"MUM1L1",0,0,0,"MUM1L1",479
"LBX1",0,0,0,"LBX1",480
"A1CF",0.01,0.01,0,"A1CF",481
"FGF17",0,0,0,"FGF17",482
"DMRT3",0,0,0,"DMRT3",483
"GDAP1L1",0,0,0,"GDAP1L1",484
"INPP5J",0,0,0,"INPP5J",485
"YIPF7",0,0,0,"YIPF7",486
"C15orf59",0,0,0,"C15orf59",487
"MYH1",0,0,0,"MYH1",488
"PAX1",0,0,0,"PAX1",489
"SOX10",0,0,0,"SOX10",490
"C5orf46",0,0,0,"C5orf46",491
"FBN3",0,0,0,"FBN3",492
"RGS8",0,0,0,"RGS8",493
"GAGE12G",0,0,0,"GAGE12G",494
"GAL3ST1",0,0,0,"GAL3ST1",495
"OR10H2",0,0,0,"OR10H2",496
"FIGN",0,0,0,"FIGN",497
"IBSP",0,0,0,"IBSP",498
"CPZ",0,0,0,"CPZ",499
"RBPJL",0,0,0,"RBPJL",500
"C14orf180",0,0,0,"C14orf180",501
"AJAP1",0,0,0,"AJAP1",502
"SLC1A6",0,0,0,"SLC1A6",503
"C14orf39",0,0,0,"C14orf39",504
"F13B",0,0,0,"F13B",505
"IFNW1",0,0,0,"IFNW1",506
"TMEM114",0,0,0,"TMEM114",507
"C11orf45",0,0,0,"C11orf45",508
"TBX18",0,0,0,"TBX18",509
"PABPN1L",0,0,0,"PABPN1L",510
"CYP17A1",0,0,0,"CYP17A1",511
"RIPPLY1",0,0,0,"RIPPLY1",512
"KAAG1",0,0,0,"KAAG1",513
"METTL11B",0,0,0,"METTL11B",514
"HGFAC",0,0,0,"HGFAC",515
"RPRM",0,0,0,"RPRM",516
"DRD1",0,0,0,"DRD1",517
"PFN3",0,0,0,"PFN3",518
"SPINK1",0,0,0,"SPINK1",519
"DIO3",0,0,0,"DIO3",520
"SLC17A1",0,0,0,"SLC17A1",521
"VSTM2L",0,0,0,"VSTM2L",522
"MARCH10",0,0,0,"MARCH10",523
"IFNA2",0,0,0,"IFNA2",524
"NPAS1",0,0,0,"NPAS1",525
"HSPB2.C11orf52",0,0,0,"HSPB2.C11orf52",526
"SMLR1",0,0,0,"SMLR1",527
"APOB",0,0,0,"APOB",528
"SERPINB7",0,0,0,"SERPINB7",529
"CAPN9",0,0,0,"CAPN9",530
"FAM181B",0,0,0,"FAM181B",531
"HS6ST2",0,0,0,"HS6ST2",532
"CNTNAP4",0,0,0,"CNTNAP4",533
"AGTR1",0,0,0,"AGTR1",534
"HAPLN2",0,0,0,"HAPLN2",535
"ABCG4",0,0,0,"ABCG4",536
"FAM170B",0,0,0,"FAM170B",537
"CCKBR",0,0,0,"CCKBR",538
"LRRC10B",0,0,0,"LRRC10B",539
"CDRT15L2",0,0,0,"CDRT15L2",540
"ACSM5",0,0,0,"ACSM5",541
"RXRG",0,0,0,"RXRG",542
"FAM183A",0,0,0,"FAM183A",543
"OR2M5",0,0,0,"OR2M5",544
"SFRP5",0,0,0,"SFRP5",545
"OR2J3",0,0,0,"OR2J3",546
