"","min_2","max_other","target_score","gene","rank"
"FAM71A",0,0.02,-0.02,"FAM71A",365
"TTLL11",0,0.02,-0.02,"TTLL11",366
"AGRP",0,0.02,-0.02,"AGRP",367
"TMEM184A",0,0.02,-0.02,"TMEM184A",368
"MECOM",0,0.02,-0.02,"MECOM",369
"FAM124A",0,0.02,-0.02,"FAM124A",370
"SYCP2L",0,0.02,-0.02,"SYCP2L",371
"VWDE",0,0.02,-0.02,"VWDE",372
"MTCL1",0,0.02,-0.02,"MTCL1",373
"GPR161",0,0.02,-0.02,"GPR161",374
"LYG2",0,0.02,-0.02,"LYG2",375
"SMC1B",0,0.02,-0.02,"SMC1B",376
"IL17C",0,0.02,-0.02,"IL17C",377
"SIAH3",0,0.02,-0.02,"SIAH3",378
"FFAR1",0,0.02,-0.02,"FFAR1",379
"HNF4A",0,0.02,-0.02,"HNF4A",380
"HOXB9",0,0.02,-0.02,"HOXB9",381
"APBB2",0,0.02,-0.02,"APBB2",382
"HSD11B1",0,0.02,-0.02,"HSD11B1",383
"HSD11B2",0,0.02,-0.02,"HSD11B2",384
"CYR61",0,0.02,-0.02,"CYR61",385
"KCNA2",0,0.02,-0.02,"KCNA2",386
"SHISA2",0,0.02,-0.02,"SHISA2",387
"C2CD4B",0,0.02,-0.02,"C2CD4B",388
"XKR9",0,0.02,-0.02,"XKR9",389
"LRP6",0,0.02,-0.02,"LRP6",390
"CYP4F3",0,0.02,-0.02,"CYP4F3",391
"MTCP1",0,0.02,-0.02,"MTCP1",392
"PDE2A",0,0.02,-0.02,"PDE2A",393
"RAB23",0,0.02,-0.02,"RAB23",394
"MNS1",0,0.02,-0.02,"MNS1",395
"PSD",0,0.02,-0.02,"PSD",396
"NT5M",0,0.02,-0.02,"NT5M",397
"DOCK6",0,0.02,-0.02,"DOCK6",398
"JAM2",0,0.02,-0.02,"JAM2",399
"SLC28A3",0,0.02,-0.02,"SLC28A3",400
"LRRC4",0,0.02,-0.02,"LRRC4",401
"RAB17",0,0.02,-0.02,"RAB17",402
"RNF222",0,0.02,-0.02,"RNF222",403
"LPIN3",0,0.02,-0.02,"LPIN3",404
"SULT1C2",0,0.02,-0.02,"SULT1C2",405
"TEAD3",0,0.02,-0.02,"TEAD3",406
"CAPN5",0,0.02,-0.02,"CAPN5",407
"ZSCAN20",0,0.02,-0.02,"ZSCAN20",408
"CA12",0,0.02,-0.02,"CA12",409
"SEMA3B",0,0.02,-0.02,"SEMA3B",410
"TUSC3",0,0.02,-0.02,"TUSC3",411
"BAIAP2L2",0,0.02,-0.02,"BAIAP2L2",412
"MFAP5",0,0.02,-0.02,"MFAP5",413
"ADAMTS10",0,0.02,-0.02,"ADAMTS10",414
"HIST1H2BI",0,0.02,-0.02,"HIST1H2BI",415
"DCHS1",0,0.02,-0.02,"DCHS1",416
"CHRNA6",0,0.02,-0.02,"CHRNA6",417
"AKAP6",0,0.02,-0.02,"AKAP6",418
