"","gene","rank.x","rank.y","rank.x.1","rank.y.1","rank.x.2","rank.y.2","rank.x.3","rank.y.3","rank.x.4","rank.y.4","rank_avg"
"212","ACOX3",4742,75,7041,8201,NA,3440,10114,15807,7677,2089,6576.22222222222
"213","ACOXL",12708,14970,NA,4155,13138,10489,12742,16052,5171,11522,11216.3333333333
"214","ACP1",12924,5549,802,9745,8829,5084,6763,4563,4120,8994,6737.3
"215","ACP2",14403,11824,12299,16625,14361,16602,13176,8208,9774,6509,12378.1
"216","ACP5",11925,99,13016,6408,9815,17177,8332,9425,9808,833,8683.8
"217","ACP6",2706,8107,651,7035,NA,10195,10478,8344,4995,847,5928.66666666667
"218","ACPP",7733,12935,8507,15825,14880,7827,11891,11593,11095,9658,11194.4
"219","ACPT",NA,1364,NA,1959,NA,NA,NA,4936,NA,NA,2753
"220","ACR",NA,2169,NA,4195,NA,3591,3595,7027,NA,NA,4115.4
"221","ACRBP",9534,9716,6561,15351,10392,10374,10804,13778,10651,7495,10465.6
"222","ACRV1",NA,4471,NA,9585,NA,932,NA,2323,NA,NA,4327.75
"223","ACSBG1",4124,2550,NA,3880,5520,6887,9434,12190,2097,3608,5587.77777777778
"224","ACSBG2",668,1475,NA,1886,750,2293,NA,2509,NA,NA,1596.83333333333
"225","ACSF2",14101,16608,5891,16378,NA,13894,9067,16978,9106,7753,12197.3333333333
"226","ACSF3",7065,7017,6759,8326,NA,10837,11414,12415,4433,9955,8691.22222222222
"227","ACSL1",14807,12583,13206,16991,NA,17772,15389,17802,11987,13493,14892.2222222222
"228","ACSL3",11566,4019,9959,7978,13745,13545,13100,13764,10065,11933,10967.4
"229","ACSL4",14230,15910,12644,66,NA,17106,13234,6972,11757,12892,11645.6666666667
"230","ACSL5",2976,10526,3872,3272,7411,11998,3617,8935,5332,3566,6150.5
"231","ACSL6",13276,6526,889,13755,NA,9333,14376,15874,10133,12709,10763.4444444444
"232","ACSM1",4485,2874,NA,9545,NA,3995,7988,9143,NA,NA,6338.33333333333
"233","ACSM2A",3845,4812,NA,6783,NA,4553,4635,13299,NA,3838,5966.42857142857
"234","ACSM2B",4484,2706,NA,3089,2908,16425,8574,16083,NA,7090,7669.875
"235","ACSM3",11061,16105,6413,15206,NA,15099,14665,5065,9974,12847,11826.1111111111
"236","ACSM4",NA,1546,NA,1624,2549,15510,NA,1459,NA,NA,4537.6
"237","ACSM5",3400,541,10705,4676,NA,4537,7987,8104,NA,1132,5135.25
